canonical_url,date_published,domain,from_user_botscore,from_user_id,from_user_screen_name,id,is_mention,original_query,pub_date,site_domain,site_type,title,to_user_botscore,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,tweet_url,url_id,url_raw
,2022-11-03T13:20:44Z,,0.25,965331540,jarizabaletaf,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:44Z,,claim,,0.58,141337341,FENAGU,2022-11-03T13:20:44Z,1588159241034031107,retweet,https://twitter.com/jarizabaletaf/status/1588159241034031107,,
,2022-11-03T13:20:44Z,,0.18,1167903902,RSemala,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:44Z,,claim,,0.06,3336067469,mujerdulce35,2022-11-03T13:20:44Z,1588159241113767937,retweet,https://twitter.com/RSemala/status/1588159241113767937,,
,2022-11-03T13:20:45Z,,0.79,146939587,guribe3,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:45Z,,claim,,0.7,1572629245708337156,MIRIAMP45115768,2022-11-03T13:20:45Z,1588159244171354114,retweet,https://twitter.com/guribe3/status/1588159244171354114,,
,2022-11-03T13:20:45Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:45Z,,claim,,0.12,2397450531,HernanMovies,2022-11-03T13:20:45Z,1588159247694663683,retweet,https://twitter.com/petrogustavo/status/1588159247694663683,,
,2022-11-03T13:20:46Z,,0.16,541020317,MiguelPoloP,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:46Z,,claim,,0.32,2514933370,mauricio871106,2022-11-03T13:20:46Z,1588159248441147392,retweet,https://twitter.com/MiguelPoloP/status/1588159248441147392,,
,2022-11-03T13:20:46Z,,0.34,1115440213,CeDemocratico,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:46Z,,claim,,0.34,986806820261031936,jrua50,2022-11-03T13:20:46Z,1588159251817562114,retweet,https://twitter.com/CeDemocratico/status/1588159251817562114,,
,2022-11-03T13:20:47Z,,0.34,1115440213,CeDemocratico,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:47Z,,claim,,0.71,618189730,JORGE12CASTRO,2022-11-03T13:20:47Z,1588159252832702467,retweet,https://twitter.com/CeDemocratico/status/1588159252832702467,,
,2022-11-03T13:20:48Z,,0.17,1190218998,carturorincon7,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.42,1498878453684318214,Gustavo05316976,2022-11-03T13:20:48Z,1588159256850735104,retweet,https://twitter.com/carturorincon7/status/1588159256850735104,,
,2022-11-03T13:20:48Z,,0.3,2579213635,PajaritoDeIvan,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.14,1009181927927111685,MiguelGallegoXD,2022-11-03T13:20:48Z,1588159257052160001,retweet,https://twitter.com/PajaritoDeIvan/status/1588159257052160001,,
,2022-11-03T13:20:48Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.27,363705761,LuisFelipeVarg4,2022-11-03T13:20:48Z,1588159258096553984,retweet,https://twitter.com/petrogustavo/status/1588159258096553984,,
,2022-11-03T13:20:48Z,,0.19,1037385276,JulUscategui,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.71,618189730,JORGE12CASTRO,2022-11-03T13:20:48Z,1588159260047085569,retweet,https://twitter.com/JulUscategui/status/1588159260047085569,,
,2022-11-03T13:20:48Z,,0.26,233001872,jorgerojas2022,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.24,1533999319,RaguanHe,2022-11-03T13:20:48Z,1588159260579729409,retweet,https://twitter.com/jorgerojas2022/status/1588159260579729409,,
,2022-11-03T13:20:48Z,,0.28,87025783,luiscrh,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:48Z,,claim,,0.14,1044230119559028736,Alidago1,2022-11-03T13:20:48Z,1588159260759728129,retweet,https://twitter.com/luiscrh/status/1588159260759728129,,
,2022-11-03T13:20:49Z,,0.34,1915063518,PalomaSenadora,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:49Z,,claim,,,1585329748087021568,SilvaA1123,2022-11-03T13:20:49Z,1588159262991302656,retweet,https://twitter.com/PalomaSenadora/status/1588159262991302656,,
,2022-11-03T13:20:49Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:49Z,,claim,,0.32,1342906165202714625,GrisalesRubio,2022-11-03T13:20:49Z,1588159264492646400,retweet,https://twitter.com/petrogustavo/status/1588159264492646400,,
,2022-11-03T13:20:50Z,,0.16,1298323865760870405,DiAlba_,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:50Z,,claim,,0.42,1511548701193424900,NinaGuti87,2022-11-03T13:20:50Z,1588159266577387520,retweet,https://twitter.com/DiAlba_/status/1588159266577387520,,
,2022-11-03T13:20:50Z,,0.23,268322810,JERobledo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:50Z,,claim,,0.31,309914014,EDGARSARDI,2022-11-03T13:20:50Z,1588159268137881600,retweet,https://twitter.com/JERobledo/status/1588159268137881600,,
,2022-11-03T13:20:51Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:51Z,,claim,,0.31,1082712794708000768,luisangel046,2022-11-03T13:20:51Z,1588159271455232000,retweet,https://twitter.com/wilsonariasc/status/1588159271455232000,,
,2022-11-03T13:20:52Z,,0.26,50981729,GustavoBolivar,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:52Z,,claim,,0.04,2984736442,richardmollina,2022-11-03T13:20:52Z,1588159275645403137,retweet,https://twitter.com/GustavoBolivar/status/1588159275645403137,,
,2022-11-03T13:20:53Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:53Z,,claim,,0.42,1284681779958427649,AugustoPeres19,2022-11-03T13:20:53Z,1588159280838070274,retweet,https://twitter.com/petrogustavo/status/1588159280838070274,,
,2022-11-03T13:20:54Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:54Z,,claim,,0.02,227775585,yeto03,2022-11-03T13:20:54Z,1588159285703413760,retweet,https://twitter.com/petrogustavo/status/1588159285703413760,,
,2022-11-03T13:20:58Z,,0.26,50981729,GustavoBolivar,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:58Z,,claim,,0.16,789268507389202432,vvicente_aarias,2022-11-03T13:20:58Z,1588159300412784640,retweet,https://twitter.com/GustavoBolivar/status/1588159300412784640,,
,2022-11-03T13:20:58Z,,0.26,50981729,GustavoBolivar,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:58Z,,claim,,0.35,1233910918725193730,luissce1,2022-11-03T13:20:58Z,1588159300526120963,retweet,https://twitter.com/GustavoBolivar/status/1588159300526120963,,
,2022-11-03T13:20:58Z,,0.38,71290695,mmlagoscc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:58Z,,claim,,0.51,1073716753912467456,asymptoticbeha1,2022-11-03T13:20:58Z,1588159302010904577,retweet,https://twitter.com/mmlagoscc/status/1588159302010904577,,
,2022-11-03T13:20:59Z,,0.25,965331540,jarizabaletaf,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:20:59Z,,claim,,0.04,1300280698755047425,Isabellita_9,2022-11-03T13:20:59Z,1588159304955109376,retweet,https://twitter.com/jarizabaletaf/status/1588159304955109376,,
,2022-11-03T13:21:00Z,,0.14,221466950,wilsonariasc,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:21:00Z,,claim,,,1287078683585503232,CortesValbuena,2022-11-03T13:21:00Z,1588159310290460672,retweet,https://twitter.com/wilsonariasc/status/1588159310290460672,,
,2022-11-03T13:21:00Z,,0.33,49849732,petrogustavo,,false,query=reforma%20tributaria&sort=mixed&type=Twitter&lang=es,2022-11-03T13:21:00Z,,claim,,0.26,587155098,CARLOSVILLABON2,2022-11-03T13:21:00Z,1588159311112454144,retweet,https://twitter.com/petrogustavo/status/1588159311112454144,,
